gameId,user,targetNum,startTime,duration,finishTime,numGuesses,guess1,guess2,guess3,guess4,guess5,guess6,guess7,guess8,guess9,guess10,guess11,guess12,guess13,guess14,guess15,guess16,guess17,guess18,guess19,guess20
7abeba06-4dae-4355-9498-9327d4de6307,62,23,2019-09-21 13:06:00.877,74,2019-09-21 13:07:15.022,12,90,18,80,70,60,50,40,30,20,21,22,23,,,,,,,,
0e293631-8567-441b-9085-ef7c214d6ff6,62,76,2019-09-21 13:07:31.621,91,2019-09-21 13:09:02.381,12,50,60,70,80,89,73,7,74,75,79,78,76,,,,,,,,
eed732ab-9dc9-42dd-b3d9-acb9581c8b88,1660,60,2019-09-21 13:15:52.443,59,2019-09-21 13:16:51.562,5,99,69,62,59,60,,,,,,,,,,,,,,,
2471a507-7ad3-4c2c-82b5-3428ed971750,1660,52,2019-09-21 13:17:05.272,47,2019-09-21 13:17:52.271,6,2,42,45,53,50,52,,,,,,,,,,,,,,
49cf9333-1a5c-45da-ac0f-b143fa5d72f3,548,94,2019-09-21 13:18:59.469,64,2019-09-21 13:20:03.350,11,100,1,50,66,87,99,80,89,90,95,94,,,,,,,,,
b47f08ec-5b87-4f21-8926-fdc60dfd9c06,1567,13,2019-09-21 13:28:07.713,30,2019-09-21 13:28:38.104,6,50,30,10,20,15,13,,,,,,,,,,,,,,
aaefaa58-6a4e-4962-8e59-39f846156c1a,1567,63,2019-09-21 13:28:50.295,27,2019-09-21 13:29:16.822,5,50,70,60,65,63,,,,,,,,,,,,,,,
48e483e9-ed1a-4795-9dae-325863cce915,1567,28,2019-09-21 13:29:29.692,36,2019-09-21 13:30:06.151,8,50,30,10,20,25,7,27,28,,,,,,,,,,,,
c5135eb8-2131-4735-bb7a-e3ddb77eb3b6,2228,73,2019-09-21 13:45:42.501,43,2019-09-21 13:46:25.100,7,50,80,69,72,5,75,73,,,,,,,,,,,,,
5dc308e3-081a-41d3-a32c-3fcf9a737210,2228,39,2019-09-21 13:46:39.616,91,2019-09-21 13:48:10.945,15,10,60,58,29,36,49,46,32,43,41,40,30,36,38,39,,,,,
2c9c9dca-6773-4cfd-b25b-3753a3c77a3a,2228,14,2019-09-21 13:48:25.974,72,2019-09-21 13:49:38.283,12,99,62,10,59,80,28,20,18,13,80,15,14,,,,,,,,
4290e2f5-f46e-41b7-98b3-d06c4fc390b3,603,93,2019-09-21 14:04:37.033,64,2019-09-21 14:05:40.957,13,56,70,80,90,91,99,95,94,3,91,32,92,93,,,,,,,
a4de615b-5616-4cf9-adfc-3c98fb9ef72c,603,26,2019-09-21 14:05:54.503,36,2019-09-21 14:06:30.866,6,56,30,20,25,27,26,,,,,,,,,,,,,,
c08611a9-770b-4946-ac92-3de702f1a61b,2926,96,2019-09-21 14:13:03.321,84,2019-09-21 14:14:27.562,10,50,75,100,23,83,91,95,99,97,96,,,,,,,,,,
1210bbe6-cecf-435f-9514-b7f823682ec9,222,32,2019-09-21 14:13:29.916,35,2019-09-21 14:14:04.517,6,50,25,35,30,33,32,,,,,,,,,,,,,,
1452ecb0-013c-4d4d-9bf0-2cfa983f46be,2408,15,2019-09-21 14:18:43.110,31,2019-09-21 14:19:14.174,6,50,47,26,18,12,15,,,,,,,,,,,,,,
